@relation herramientas
@attribute 'areaContorno' numeric
@attribute 'perimetroContorno' numeric
@attribute 'anchoRectangulo' numeric
@attribute 'largoRectangulo' numeric
@attribute 'radioCirculo' numeric
@attribute 'areaTriangulo' numeric
@attribute 'lenHull' numeric
@attribute 'lenDefects' numeric
@attribute 'areaRotated' numeric
@attribute 'class' { Martillo, Cutter, PinzasPunta, Nivelador, Desarmador, Espatula, Tijeras, PinzasMecanico }
@data
959338.5,4365.3729,1335,955,709,1718438.75,87,81,1014167.3699,Espatula
350787.0,4384.9334,287,1623,811,502276.5625,55,50,463537.8526,Cutter
1091657.0,8159.0313,1967,1318,1041,2110862.75,88,83,2485700.6938,Martillo
542235.5,4806.5326,1384,1168,808,772929.5,62,58,1141945.1554,Tijeras
998939.5,4308.4292,1327,1436,722,1813718.25,91,84,1042356.2871,Espatula
352649.5,5026.626,1504,781,822,503263.0,51,47,497152.8847,Cutter
328233.5,4711.8564,1123,1278,804,489387.5,41,36,437022.7989,Cutter
559425.0,8970.2234,1919,704,968,925765.5,57,52,1315139.7016,PinzasPunta
912401.0,4136.9334,1102,1332,695,1650096.75,93,85,960498.4059,Espatula
461004.5,8229.5359,406,2188,1095,676991.5,57,55,850051.0461,Desarmador
331918.0,4524.8645,479,1579,799,477922.0,42,37,458460.0482,Cutter
448856.5,7265.3206,2132,751,1102,655676.75,70,64,766038.8686,Desarmador
1041072.5,8060.4333,1299,1913,994,1989196.0,94,90,2288957.2661,Martillo
574067.0,9151.5901,1329,1667,959,919500.75,57,53,1304644.8405,PinzasPunta
534741.0,4728.8767,1580,722,795,762521.25,70,66,1118142.9569,Tijeras
990799.0,7842.1318,1907,1285,996,1947340.0,93,88,2306984.9549,Martillo
941670.0,4127.2804,1244,846,705,1698235.0,82,77,997446.7843,Espatula
981175.5,4224.3435,1373,1016,720,1755902.0,85,77,1049779.046,Espatula
924749.0,4074.5541,1361,1308,691,1648421.375,88,84,976558.001,Espatula
564430.5,5089.359,1625,750,816,808907.5,77,72,1192292.9127,Tijeras
307342.5,4190.2341,878,1433,789,445499.0,49,46,408537.6866,Cutter
545649.5,8561.3635,1818,1080,970,907599.0,49,45,1303210.8477,PinzasPunta
527715.0,8738.3513,682,1852,934,877446.375,55,49,1209641.6049,PinzasPunta
484564.5,8029.329,1081,1785,959,869894.25,64,57,1243615.0429,PinzasPunta
531851.0,7231.0738,1872,660,943,892105.4375,69,61,1228872.4591,PinzasPunta
1260223.5,6472.108,2644,880,1329,2292368.5,63,57,1310191.8066,Nivelador
348880.0,4792.6676,1433,974,813,500568.5,48,43,473887.035,Cutter
465269.0,3518.4827,1000,740,505,652348.0,73,70,700195.8614,Tijeras
